"","Entity","Year","Code","nuclear_weapons_stockpile","military1","const_expenditure","curr_expenditure","GDPShare","govtShare","Miliary_exp_mil"
"150","Pakistan",2005,"PAK",44,425484,5941.07810075002,4587.1174251653,0.0389701939256291,0.244505565860216,4420.97871258265
"151","Pakistan",2006,"PAK",50,652998,6039.39090711483,4969.19761146682,0.0364525520437771,0.213651130175244,5749.58880573341
"152","Pakistan",2007,"PAK",60,565401,6081.4067785223,5342.57513768038,0.0351198610011098,0.180277477315316,5498.29256884019
"153","Pakistan",2008,"PAK",70,624355,5733.52421599382,5226.67878650153,0.0345937100362745,0.161334729229469,5735.11439325077
"154","Pakistan",2009,"PAK",80,624355,5908.67636475356,5274.56497076961,0.0326522399322955,0.169404920996777,5759.0574853848
"155","Pakistan",2010,"PAK",90,699132,6178.56009226363,5974.61317607619,0.0342369097294437,0.168346660501673,6482.9665880381
"156","Pakistan",2011,"PAK",100,699132,6513.13327446201,6954.78751126317,0.0328565081602325,0.169807372552568,6973.05375563158
"157","Pakistan",2012,"PAK",110,746811,6907.27281321626,7478.97108202563,0.0348439877285312,0.160899507718915,7473.54054101281
"158","Pakistan",2013,"PAK",115,781911,7134.72347743957,7645.45552942566,0.0347097250708344,0.159065082184649,7732.28276471283
"159","Pakistan",2014,"PAK",120,867340,7495.81924164531,8654.92319190126,0.0347657944030318,0.173004669076832,8664.16159595063
"160","Pakistan",2015,"PAK",125,948983,8143.03332180314,9483.48237308916,0.0355138724305165,0.179623861947681,9486.65618654458
"161","Pakistan",2016,"PAK",130,1006824,8415.93115881103,9973.76805878466,0.0359474546951394,0.180322155733045,10021.0040293923
"162","Pakistan",2017,"PAK",140,1006824,9321.00853294253,11461.2539165641,0.0377444886134427,0.177176252058298,10764.746958282
"163","Pakistan",2018,"PAK",150,1006824,10523.7619592271,11732.1317620538,0.0412913136448543,0.19089009527101,10900.1858810269
"164","Pakistan",2019,"PAK",150,1006824,10388.3181645683,10388.3181645683,0.0410881635812999,0.186970701135186,10228.2790822842
"165","Pakistan",2020,"PAK",160,1006824,10097.2213870912,10376.3816208134,0.0402471400579356,0.174058451653021,10222.3108104067
"166","Russia",1988,"RUS",36538,9348700,47153.8500214495,7766.72007841342,0.0442703232125367,0.0690551700822641,50626.8600392067
"167","Russia",1989,"RUS",35078,9348700,47153.8500214495,7766.72007841342,0.0442703232125367,0.0690551700822641,50626.8600392067
"168","Russia",1990,"RUS",32980,9348700,47153.8500214495,7766.72007841342,0.0442703232125367,0.0690551700822641,50626.8600392067
"169","Russia",1991,"RUS",29154,9348700,47153.8500214495,7766.72007841342,0.0442703232125367,0.0690551700822641,50626.8600392067
"170","Russia",1992,"RUS",26734,9348700,47153.8500214495,7766.72007841342,0.0442703232125367,0.0690551700822641,50626.8600392067
"171","Russia",1993,"RUS",24403,9348700,41220.782452795,7766.72007841342,0.0418132464712269,0.0690551700822641,50626.8600392067
"172","Russia",1994,"RUS",21339,9348700,38967.7578252348,13547.8717334246,0.045237006553879,0.0690551700822641,53517.4358667123
"173","Russia",1995,"RUS",18179,8199996,25639.2579702409,12741.6294704057,0.0378442996742671,0.0690551700822641,47370.7947352028
"174","Russia",1996,"RUS",15942,8199996,24209.4020625871,15826.3406518084,0.0375655882080282,0.0690551700822641,48913.1503259042
"175","Russia",1997,"RUS",15442,8199996,26467.425852533,17577.3531806466,0.0403980929678188,0.0690551700822641,49788.6565903233
"176","Russia",1998,"RUS",14368,8199996,15739.9957036634,7955.73040098588,0.0273264908865687,0.0690551700822641,44977.8452004929
"177","Russia",1999,"RUS",13188,8199996,17479.5644371867,6469.03521135342,0.0307328792235108,0.0898860361074725,44234.4976056767
